"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 04, 1983","354.50","350.75","354.75","350.50","22.58K","1.07%"
"Nov 03, 1983","350.75","348.38","351.50","347.75","26.74K","0.00%"
"Nov 02, 1983","350.75","349.62","353.00","349.00","32.32K","1.15%"
"Nov 01, 1983","346.75","346.75","347.50","345.00","22.10K","0.58%"
"Oct 31, 1983","344.75","346.12","347.50","344.25","21.74K","-0.86%"
"Oct 28, 1983","347.75","346.62","348.50","345.25","23.40K","0.65%"
"Oct 27, 1983","345.50","340.75","346.25","340.25","29.94K","1.17%"
"Oct 26, 1983","341.50","346.50","348.00","339.50","34.44K","-1.87%"
"Oct 25, 1983","348.00","347.00","350.00","346.75","27.66K","1.98%"
"Oct 24, 1983","341.25","340.62","343.50","339.50","26.62K","0.15%"
"Oct 21, 1983","340.75","338.50","342.25","336.25","28.96K","0.96%"
"Oct 20, 1983","337.50","340.50","341.25","335.50","41.40K","-1.53%"
"Oct 19, 1983","342.75","345.00","346.75","342.50","30.76K","-1.30%"
"Oct 18, 1983","347.25","349.50","350.00","346.50","31.26K","-0.93%"
"Oct 17, 1983","350.50","352.75","353.50","350.25","24.46K","-0.92%"
"Oct 14, 1983","353.75","358.12","358.75","352.25","33.90K","-1.12%"
"Oct 13, 1983","357.75","352.25","358.00","351.50","31.68K","2.58%"
"Oct 12, 1983","348.75","350.12","351.50","348.50","24.66K","-0.43%"
"Oct 11, 1983","350.25","346.75","351.00","346.50","25.68K","0.65%"
"Oct 10, 1983","348.00","347.25","348.50","344.00","20.96K","-0.36%"
"Oct 07, 1983","349.25","352.00","353.00","349.25","19.43K","-0.92%"
"Oct 06, 1983","352.50","353.25","355.75","351.00","26.68K","0.43%"
"Oct 05, 1983","351.00","345.00","351.50","343.50","35.68K","1.23%"
"Oct 04, 1983","346.75","353.25","354.00","346.50","28.28K","-1.70%"
"Oct 03, 1983","352.75","352.25","353.75","349.00","29.72K","-0.56%"
"Sep 30, 1983","354.75","352.50","355.00","350.75","31.82K","0.92%"
"Sep 29, 1983","351.50","346.75","352.00","342.00","34.96K","0.86%"
"Sep 28, 1983","348.50","357.62","358.25","348.00","31.04K","-1.69%"
"Sep 27, 1983","354.50","349.75","354.75","348.75","31.04K","1.58%"
"Sep 26, 1983","349.00","354.00","354.50","345.50","41.42K","-1.48%"
"Sep 23, 1983","354.25","358.75","359.25","352.25","31.02K","-1.67%"
"Sep 22, 1983","360.25","362.75","367.00","359.50","48.84K","1.48%"
"Sep 21, 1983","355.00","362.12","362.25","355.00","-","0.78%"
"Sep 20, 1983","352.25","354.75","355.00","351.00","0.45K","-0.35%"
"Sep 19, 1983","353.50","347.00","353.50","346.50","1.14K","2.61%"
"Sep 16, 1983","344.50","343.00","345.75","339.50","0.82K","0.44%"
"Sep 15, 1983","343.00","350.75","354.50","341.75","1.45K","-2.49%"
"Sep 14, 1983","351.75","354.50","356.00","350.75","2.70K","-0.85%"
"Sep 13, 1983","354.75","367.25","367.75","354.00","3.32K","-1.94%"
"Sep 12, 1983","361.75","365.25","366.00","361.50","3.03K","-1.50%"
"Sep 09, 1983","367.25","367.75","370.00","366.50","3.64K","0.62%"
"Sep 08, 1983","365.00","364.50","365.00","361.75","3.72K","0.00%"
"Sep 07, 1983","365.00","364.88","366.25","363.00","5.40K","0.07%"
"Sep 06, 1983","364.75","360.75","365.00","359.00","5.88K","1.89%"
"Sep 02, 1983","358.00","354.50","358.25","353.00","4.59K","1.92%"
"Sep 01, 1983","351.25","358.25","359.00","348.00","6.76K","-1.40%"
"Aug 31, 1983","356.25","348.75","356.50","347.00","8.67K","2.74%"
"Aug 30, 1983","346.75","354.50","354.75","346.75","12.07K","-2.80%"
"Aug 29, 1983","356.75","359.38","361.00","354.00","9.09K","-1.04%"
"Aug 26, 1983","360.50","352.75","361.00","352.00","7.63K","1.41%"
"Aug 25, 1983","355.50","368.75","369.50","355.00","9.76K","-1.46%"
"Aug 24, 1983","360.75","363.75","365.75","359.00","8.32K","-1.37%"
"Aug 23, 1983","365.75","371.50","372.00","365.00","12.35K","0.83%"
"Aug 22, 1983","362.75","361.75","362.75","361.00","5.09K","2.83%"
"Aug 19, 1983","352.75","346.25","353.25","345.75","7.41K","0.86%"
"Aug 18, 1983","349.75","355.25","356.00","347.50","9.17K","-2.17%"
"Aug 17, 1983","357.50","363.50","364.50","355.75","8.19K","-1.45%"
"Aug 16, 1983","362.75","374.75","376.00","359.00","12.55K","-1.36%"
"Aug 15, 1983","367.75","362.25","367.75","361.00","9.25K","2.80%"
"Aug 12, 1983","357.75","358.25","363.50","355.00","9.85K","0.00%"
"Aug 11, 1983","357.75","356.25","359.00","354.00","9.42K","0.77%"
"Aug 10, 1983","355.00","347.75","355.00","347.50","9.30K","2.90%"
